"date","dailyInfections","dailyHospitalizations","dailyCriticalCare","cumulativeInfections","cumulativeHospitalizations","cumulativeCriticalCare","LDLev","cumulativeDeaths","dailyDeaths"
2020-01-24,1,0,0,1,0,0,3,0,0
2020-01-25,1,0,0,1,0,0,3,0,0
2020-01-26,1,0,0,1,0,0,3,0,0
2020-01-27,1,0,0,1,0,0,3,0,0
2020-01-28,1,0,0,1,0,0,3,0,0
2020-01-29,1,0,0,2,0,0,3,0,0
2020-01-30,1,0,0,2,0,0,3,0,0
2020-01-31,1,0,0,3,0,0,3,0,0
2020-02-01,2,0,0,3,0,0,3,0,0
2020-02-02,2,0,0,4,0,0,3,0,0
2020-02-03,2,0,0,5,0,0,3,0,0
2020-02-04,3,0,0,6,0,0,3,0,0
2020-02-05,3,0,0,7,0,0,3,0,0
2020-02-06,4,0,0,9,0,0,3,0,0
2020-02-07,5,0,0,11,0,0,3,0,0
2020-02-08,6,0,0,13,0,0,3,0,0
2020-02-09,7,0,0,16,0,0,3,0,0
2020-02-10,9,0,0,20,0,0,3,0,0
2020-02-11,11,0,0,24,0,0,3,0,0
2020-02-12,13,0,0,29,0,0,3,0,0
2020-02-13,16,0,0,36,0,0,3,0,0
2020-02-14,19,0,0,44,0,0,3,0,0
2020-02-15,23,0,0,54,1,0,3,0,0
2020-02-16,29,0,0,66,1,0,3,0,0
2020-02-17,35,0,0,80,1,0,3,0,0
2020-02-18,43,1,0,98,1,1,3,0,0
2020-02-19,52,1,1,120,1,1,3,0,0
2020-02-20,63,1,1,146,1,1,3,0,0
2020-02-21,77,1,1,178,2,1,3,0,0
2020-02-22,94,1,1,218,2,1,3,0,0
2020-02-23,115,2,1,266,3,2,3,0,0
2020-02-24,140,2,1,324,3,2,3,0,0
2020-02-25,171,2,2,396,4,2,3,0,0
2020-02-26,209,3,2,483,5,3,3,0,0
2020-02-27,255,4,2,590,6,3,3,0,0
2020-02-28,311,4,3,720,7,4,3,0,0
2020-02-29,380,5,4,879,9,5,3,1,1
2020-03-01,464,7,4,1072,11,6,3,1,0
2020-03-02,566,8,5,1309,14,8,3,1,0
2020-03-03,690,10,7,1597,16,9,3,1,0
2020-03-04,842,12,8,1949,20,11,3,1,0
2020-03-05,1028,14,10,2378,25,14,3,2,1
2020-03-06,1239,18,12,2886,30,17,3,2,0
2020-03-07,1471,21,15,3472,36,20,3,2,0
2020-03-08,1734,26,18,4153,44,25,3,3,1
2020-03-09,2036,31,21,4948,53,29,3,4,1
2020-03-10,2386,37,25,5875,63,35,3,4,0
2020-03-11,2794,43,30,6959,76,42,3,5,1
2020-03-12,3269,51,36,8226,90,50,3,6,1
2020-03-13,3824,60,42,9707,107,59,3,7,1
2020-03-14,4472,71,49,11438,127,70,3,9,2
2020-03-15,5229,83,58,13462,150,83,3,11,2
2020-03-16,6113,98,68,15827,177,98,3,13,2
2020-03-17,7146,114,80,18591,208,115,3,15,2
2020-03-18,8170,134,94,21623,245,135,3,18,3
2020-03-19,9067,155,109,24778,286,157,3,21,3
2020-03-20,9895,177,124,28088,331,182,3,25,4
2020-03-21,10694,199,141,31580,379,208,3,29,4
2020-03-22,11488,223,158,35277,432,237,3,34,5
2020-03-23,12297,247,176,39197,488,267,3,39,5
2020-03-24,13134,271,195,43361,549,299,3,45,6
2020-03-25,14008,296,214,47785,613,333,3,51,6
2020-03-26,14926,322,233,52488,681,369,3,58,7
2020-03-27,15895,349,254,57489,754,408,3,65,7
2020-03-28,16689,376,275,62554,831,448,3,73,8
2020-03-29,17162,403,295,67462,911,490,3,82,9
2020-03-30,17407,427,315,72234,993,532,3,91,9
2020-03-31,17494,450,333,76890,1075,575,3,101,10
2020-04-01,17468,469,350,81441,1158,616,3,112,11
2020-04-02,17365,486,365,85896,1240,658,3,122,10
2020-04-03,17207,500,378,90263,1321,698,3,133,11
2020-04-04,17013,512,390,94547,1401,738,3,145,12
2020-04-05,16793,521,399,98751,1481,777,3,156,11
2020-04-06,16557,528,408,102879,1559,815,3,168,12
2020-04-07,16296,533,414,106917,1636,851,3,180,12
2020-04-08,16006,536,420,110853,1711,887,3,192,12
2020-04-09,15697,538,424,114692,1785,923,3,204,12
2020-04-10,15377,538,427,118438,1858,957,3,216,12
